Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
37.00 < Age <= 48.00,Private,Bachelors,Married,Other,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,Latin-America,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,Low,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,State-gov,Bachelors,Married,White-Collar,Wife,Black,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,High School grad,Never-Married,Professional,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Associates,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Widowed,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Married,Admin,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,Other,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,Bachelors,Separated,Professional,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Federal-gov,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Bachelors,Separated,Professional,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Doctorate,Separated,White-Collar,Not-in-family,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,Other,Not-in-family,Black,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Associates,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,White-Collar,Husband,Asian-Pac-Islander,Male,Low,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,Euro_1,"More than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Admin,Wife,White,Female,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,Black,Male,None,Low,Hours per week > 45.00,Other,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Other-relative,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,Euro_2,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Masters,Married,Professional,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Dropout,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Bachelors,Separated,Other,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,?,Bachelors,Married,?,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,Bachelors,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Sales,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Sales,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Separated,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Service,Wife,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Professional,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,Associates,Married,Blue-Collar,Husband,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Widowed,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Doctorate,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Unmarried,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Separated,Admin,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,White-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Prof-School,Married,Admin,Husband,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
37.00 < Age <= 48.00,Private,Doctorate,Never-Married,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,?,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,Low,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50,000"
Age > 48.00,State-gov,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Service,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Other-relative,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Other-relative,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Service,Other-relative,White,Female,None,None,Hours per week <= 40.00,Euro_1,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Local-gov,Masters,Married,Professional,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,High School grad,Married,Admin,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Widowed,Blue-Collar,Unmarried,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Wife,White,Female,None,None,Hours per week > 45.00,British-Commonwealth,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Separated,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Sales,Husband,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Service,Unmarried,Black,Female,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Service,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,White-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Separated,?,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,British-Commonwealth,"More than $50,000"
Age > 48.00,Private,High School grad,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Doctorate,Never-Married,Professional,Not-in-family,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Self-emp-not-inc,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Federal-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Wife,White,Female,None,None,Hours per week <= 40.00,South-America,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Other-relative,Other,Male,None,None,Hours per week > 45.00,South-America,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Service,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,White-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Never-Married,White-Collar,Own-child,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
