A1,A2,A3,A4,A5,A6,A7,A8,A9,target
55.0,3.0,88.0,3.0,54.0,0.0,32.0,33.0,2.0,1
37.0,0.0,74.0,0.0,26.0,-1.0,38.0,48.0,10.0,1
37.0,0.0,106.0,0.0,36.0,3.0,68.0,69.0,2.0,1
49.0,0.0,107.0,0.0,46.0,-16.0,58.0,60.0,2.0,1
79.0,5.0,83.0,0.0,-46.0,0.0,4.0,130.0,126.0,5
51.0,0.0,79.0,0.0,52.0,29.0,28.0,27.0,0.0,1
59.0,4.0,84.0,0.0,60.0,24.0,25.0,24.0,0.0,1
37.0,0.0,108.0,0.0,30.0,-21.0,71.0,77.0,6.0,1
56.0,3.0,97.0,0.0,46.0,9.0,41.0,51.0,10.0,4
39.0,5.0,77.0,0.0,38.0,0.0,37.0,38.0,0.0,1
51.0,-5.0,81.0,0.0,52.0,0.0,30.0,30.0,0.0,1
49.0,0.0,77.0,0.0,46.0,-9.0,29.0,31.0,2.0,1
46.0,2.0,77.0,0.0,44.0,-19.0,32.0,34.0,2.0,1
56.0,0.0,81.0,0.0,56.0,0.0,24.0,24.0,0.0,1
56.0,0.0,79.0,0.0,16.0,3.0,23.0,63.0,40.0,4
37.0,0.0,105.0,0.0,34.0,4.0,68.0,71.0,4.0,1
76.0,0.0,81.0,-2.0,-40.0,13.0,5.0,122.0,118.0,5
56.0,0.0,80.0,0.0,56.0,7.0,24.0,23.0,0.0,1
41.0,2.0,76.0,0.0,42.0,11.0,35.0,35.0,0.0,1
41.0,1.0,85.0,0.0,38.0,0.0,44.0,46.0,2.0,1
56.0,-4.0,97.0,0.0,52.0,-2.0,41.0,45.0,4.0,4
49.0,0.0,95.0,1.0,50.0,2.0,46.0,46.0,0.0,1
37.0,2.0,76.0,0.0,36.0,0.0,38.0,39.0,2.0,1
56.0,1.0,99.0,0.0,50.0,16.0,42.0,49.0,8.0,4
56.0,-4.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,1
37.0,-3.0,81.0,-2.0,38.0,-9.0,43.0,42.0,0.0,1
47.0,0.0,84.0,4.0,46.0,0.0,38.0,38.0,0.0,1
41.0,1.0,86.0,2.0,42.0,14.0,45.0,45.0,0.0,1
53.0,3.0,81.0,0.0,54.0,0.0,27.0,26.0,0.0,1
47.0,5.0,79.0,0.0,46.0,0.0,32.0,32.0,0.0,1
104.0,7.0,105.0,7.0,70.0,0.0,1.0,35.0,34.0,5
101.0,-3.0,102.0,-4.0,72.0,0.0,1.0,29.0,28.0,5
45.0,0.0,86.0,0.0,44.0,-17.0,41.0,42.0,2.0,1
42.0,4.0,77.0,0.0,42.0,1.0,35.0,35.0,0.0,1
45.0,0.0,79.0,0.0,44.0,-4.0,34.0,35.0,2.0,1
37.0,0.0,80.0,0.0,36.0,15.0,43.0,44.0,2.0,1
56.0,0.0,96.0,-1.0,44.0,0.0,40.0,52.0,12.0,4
56.0,0.0,81.0,0.0,-10.0,-3.0,25.0,92.0,66.0,4
42.0,0.0,83.0,2.0,42.0,0.0,41.0,42.0,2.0,1
51.0,1.0,88.0,0.0,52.0,7.0,37.0,37.0,0.0,1
49.0,3.0,82.0,0.0,46.0,-8.0,33.0,35.0,2.0,1
41.0,1.0,86.0,3.0,42.0,6.0,45.0,45.0,0.0,1
37.0,0.0,77.0,0.0,336.0,4910.0,41.0,-258.0,-298.0,1
49.0,0.0,84.0,0.0,46.0,-4.0,36.0,38.0,2.0,1
37.0,-1.0,77.0,-3.0,34.0,-6.0,40.0,43.0,2.0,1
41.0,0.0,79.0,0.0,38.0,-23.0,38.0,41.0,2.0,1
51.0,0.0,79.0,0.0,52.0,2.0,27.0,27.0,0.0,1
55.0,-1.0,79.0,-4.0,20.0,-12.0,24.0,59.0,34.0,4
41.0,0.0,77.0,0.0,42.0,5.0,37.0,36.0,0.0,1
46.0,-3.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,1
56.0,0.0,79.0,0.0,-2.0,-24.0,24.0,82.0,58.0,4
44.0,0.0,82.0,-1.0,44.0,0.0,38.0,38.0,0.0,1
45.0,0.0,83.0,0.0,46.0,31.0,37.0,36.0,0.0,1
37.0,0.0,77.0,-1.0,36.0,4.0,40.0,41.0,0.0,1
37.0,0.0,75.0,-1.0,36.0,0.0,38.0,39.0,0.0,1
37.0,1.0,77.0,-2.0,34.0,0.0,40.0,43.0,2.0,1
51.0,0.0,79.0,0.0,50.0,-6.0,28.0,30.0,2.0,1
46.0,-4.0,76.0,-1.0,46.0,0.0,29.0,29.0,0.0,1
49.0,0.0,77.0,5.0,50.0,5.0,28.0,28.0,0.0,1
45.0,0.0,108.0,0.0,44.0,-3.0,62.0,64.0,2.0,1
42.0,0.0,79.0,-2.0,42.0,0.0,36.0,37.0,2.0,1
37.0,0.0,78.0,0.0,20.0,-10.0,41.0,57.0,16.0,1
37.0,0.0,76.0,-3.0,36.0,-10.0,39.0,40.0,2.0,1
53.0,5.0,84.0,0.0,52.0,-5.0,31.0,32.0,2.0,1
38.0,4.0,76.0,0.0,38.0,4.0,38.0,37.0,0.0,1
40.0,0.0,80.0,0.0,38.0,-2.0,40.0,41.0,2.0,1
47.0,2.0,95.0,3.0,46.0,0.0,48.0,49.0,0.0,1
45.0,0.0,79.0,5.0,44.0,0.0,34.0,35.0,2.0,1
41.0,-1.0,86.0,0.0,42.0,0.0,45.0,45.0,0.0,1
55.0,0.0,95.0,0.0,36.0,13.0,40.0,59.0,20.0,4
56.0,0.0,95.0,0.0,56.0,15.0,40.0,39.0,0.0,1
51.0,-3.0,83.0,0.0,50.0,-14.0,32.0,33.0,2.0,1
37.0,0.0,75.0,0.0,34.0,10.0,38.0,41.0,2.0,1
37.0,0.0,75.0,0.0,28.0,16.0,38.0,46.0,8.0,1
81.0,-2.0,84.0,0.0,-18.0,-30.0,4.0,103.0,98.0,5
43.0,0.0,95.0,-4.0,42.0,-4.0,52.0,54.0,2.0,1
41.0,0.0,84.0,2.0,42.0,25.0,43.0,43.0,0.0,1
49.0,0.0,87.0,-7.0,46.0,-25.0,38.0,41.0,2.0,1
49.0,0.0,83.0,0.0,46.0,-14.0,34.0,37.0,2.0,1
37.0,-3.0,77.0,0.0,20.0,0.0,40.0,56.0,16.0,1
81.0,0.0,84.0,0.0,-12.0,29.0,4.0,97.0,94.0,5
55.0,1.0,84.0,0.0,54.0,-1.0,29.0,30.0,2.0,1
55.0,0.0,96.0,0.0,46.0,23.0,41.0,50.0,8.0,4
42.0,0.0,81.0,-2.0,42.0,-4.0,39.0,39.0,0.0,1
79.0,0.0,83.0,0.0,-40.0,3.0,4.0,125.0,120.0,5
59.0,-5.0,84.0,0.0,60.0,6.0,25.0,24.0,0.0,1
56.0,-3.0,87.0,0.0,56.0,0.0,31.0,30.0,0.0,1
55.0,0.0,82.0,1.0,-10.0,0.0,26.0,92.0,66.0,4
56.0,0.0,92.0,0.0,-2.0,-4.0,36.0,95.0,58.0,4
46.0,0.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,1
56.0,0.0,78.0,0.0,8.0,-19.0,22.0,70.0,48.0,4
37.0,0.0,83.0,0.0,34.0,7.0,47.0,50.0,2.0,1
37.0,0.0,77.0,0.0,2.0,17.0,40.0,74.0,34.0,1
53.0,-1.0,87.0,-5.0,52.0,-10.0,34.0,35.0,2.0,1
37.0,-1.0,79.0,-4.0,36.0,-6.0,42.0,43.0,2.0,1
44.0,-1.0,82.0,-4.0,44.0,0.0,38.0,38.0,0.0,1
48.0,-3.0,95.0,0.0,46.0,-4.0,47.0,49.0,2.0,1
42.0,5.0,79.0,5.0,42.0,0.0,37.0,38.0,0.0,1
37.0,0.0,106.0,-1.0,34.0,0.0,68.0,72.0,4.0,1
37.0,0.0,81.0,5.0,36.0,-3.0,43.0,44.0,2.0,1
44.0,-4.0,82.0,-3.0,44.0,0.0,38.0,38.0,0.0,1
45.0,0.0,83.0,0.0,46.0,19.0,38.0,37.0,0.0,1
55.0,2.0,83.0,-2.0,54.0,0.0,28.0,29.0,0.0,1
55.0,0.0,77.0,0.0,-14.0,-4.0,21.0,92.0,70.0,4
41.0,3.0,78.0,0.0,38.0,-1.0,37.0,39.0,2.0,1
37.0,0.0,78.0,-5.0,8.0,0.0,41.0,70.0,30.0,1
57.0,3.0,91.0,0.0,56.0,0.0,34.0,34.0,0.0,1
37.0,0.0,76.0,0.0,38.0,14.0,38.0,37.0,0.0,1
37.0,0.0,77.0,0.0,8.0,-8.0,41.0,70.0,28.0,1
37.0,0.0,76.0,-5.0,28.0,6.0,39.0,47.0,8.0,1
49.0,4.0,84.0,0.0,50.0,2.0,35.0,35.0,0.0,1
37.0,0.0,77.0,5.0,-12.0,-10.0,41.0,90.0,50.0,1
50.0,-4.0,85.0,0.0,50.0,0.0,35.0,36.0,2.0,1
51.0,-2.0,87.0,0.0,52.0,5.0,36.0,35.0,0.0,1
37.0,0.0,93.0,0.0,12.0,7.0,56.0,81.0,24.0,1
56.0,0.0,82.0,1.0,54.0,-12.0,26.0,28.0,2.0,1
43.0,0.0,81.0,3.0,42.0,-4.0,38.0,40.0,2.0,1
55.0,-2.0,108.0,0.0,54.0,-3.0,52.0,53.0,2.0,1
37.0,0.0,81.0,-1.0,36.0,-18.0,43.0,44.0,2.0,1
45.0,-1.0,78.0,-3.0,44.0,-5.0,33.0,34.0,2.0,1
41.0,0.0,77.0,7.0,38.0,0.0,36.0,38.0,2.0,1
48.0,1.0,87.0,0.0,46.0,0.0,39.0,41.0,2.0,1
43.0,0.0,81.0,0.0,44.0,15.0,37.0,37.0,0.0,1
56.0,0.0,96.0,0.0,52.0,-3.0,40.0,44.0,4.0,4
37.0,0.0,92.0,0.0,24.0,3.0,55.0,69.0,14.0,1
46.0,1.0,83.0,0.0,44.0,-9.0,37.0,39.0,2.0,1
49.0,-2.0,77.0,3.0,46.0,-30.0,28.0,30.0,2.0,1
45.0,0.0,83.0,0.0,44.0,2.0,38.0,39.0,0.0,1
56.0,0.0,81.0,0.0,-20.0,-4.0,25.0,102.0,76.0,4
48.0,-3.0,109.0,-6.0,46.0,0.0,61.0,62.0,2.0,1
37.0,0.0,83.0,0.0,34.0,5.0,46.0,49.0,4.0,1
50.0,-4.0,83.0,0.0,50.0,0.0,33.0,34.0,2.0,1
47.0,-2.0,75.0,0.0,46.0,0.0,28.0,28.0,0.0,1
48.0,1.0,81.0,-1.0,46.0,0.0,33.0,34.0,2.0,1
55.0,0.0,82.0,0.0,-42.0,-9.0,26.0,126.0,100.0,4
50.0,3.0,107.0,0.0,50.0,0.0,57.0,58.0,0.0,1
38.0,0.0,102.0,-4.0,34.0,0.0,65.0,69.0,4.0,1
37.0,0.0,106.0,17.0,28.0,0.0,69.0,77.0,8.0,1
37.0,0.0,77.0,0.0,-6.0,-19.0,41.0,85.0,44.0,1
37.0,0.0,79.0,0.0,26.0,-22.0,42.0,53.0,12.0,1
43.0,0.0,84.0,0.0,44.0,13.0,41.0,41.0,0.0,1
36.0,-1.0,81.0,0.0,36.0,0.0,45.0,45.0,0.0,1
45.0,1.0,80.0,0.0,46.0,31.0,35.0,34.0,0.0,1
55.0,0.0,78.0,0.0,0.0,-3.0,23.0,78.0,56.0,4
58.0,5.0,88.0,0.0,56.0,0.0,30.0,31.0,2.0,1
48.0,0.0,88.0,-4.0,46.0,0.0,40.0,41.0,2.0,1
105.0,-1.0,106.0,2.0,70.0,0.0,2.0,36.0,34.0,5
54.0,-1.0,86.0,-1.0,54.0,-2.0,32.0,32.0,0.0,1
56.0,4.0,96.0,0.0,52.0,10.0,40.0,44.0,4.0,4
79.0,2.0,83.0,0.0,-42.0,-19.0,4.0,126.0,122.0,5
37.0,0.0,97.0,0.0,24.0,-30.0,60.0,73.0,14.0,1
46.0,-3.0,109.0,2.0,46.0,0.0,63.0,63.0,0.0,1
37.0,0.0,78.0,0.0,16.0,-11.0,42.0,63.0,22.0,1
37.0,0.0,78.0,0.0,12.0,-10.0,41.0,65.0,24.0,1
56.0,0.0,78.0,5.0,-22.0,0.0,22.0,101.0,80.0,4
55.0,0.0,83.0,5.0,-24.0,0.0,27.0,108.0,82.0,4
54.0,2.0,80.0,0.0,54.0,0.0,26.0,26.0,0.0,1
55.0,0.0,77.0,-2.0,28.0,0.0,21.0,48.0,28.0,4
37.0,0.0,104.0,-9.0,28.0,0.0,67.0,75.0,8.0,1
55.0,-1.0,79.0,0.0,16.0,0.0,23.0,63.0,40.0,4
43.0,-3.0,86.0,0.0,42.0,-16.0,42.0,44.0,2.0,1
41.0,-1.0,89.0,0.0,38.0,-14.0,48.0,50.0,2.0,1
39.0,0.0,107.0,-2.0,38.0,0.0,68.0,68.0,0.0,1
46.0,0.0,107.0,0.0,46.0,4.0,61.0,60.0,0.0,1
37.0,4.0,76.0,0.0,34.0,-10.0,39.0,43.0,4.0,1
44.0,1.0,76.0,0.0,44.0,8.0,32.0,32.0,0.0,1
53.0,0.0,79.0,0.0,54.0,14.0,26.0,24.0,0.0,1
44.0,0.0,81.0,-1.0,44.0,5.0,37.0,37.0,0.0,1
56.0,3.0,99.0,0.0,38.0,0.0,43.0,60.0,18.0,4
56.0,0.0,93.0,-7.0,50.0,0.0,37.0,44.0,6.0,4
37.0,0.0,75.0,-2.0,34.0,0.0,38.0,41.0,2.0,1
52.0,4.0,84.0,-1.0,52.0,-2.0,31.0,32.0,0.0,1
80.0,0.0,85.0,6.0,-40.0,10.0,5.0,126.0,122.0,5
37.0,0.0,76.0,0.0,36.0,4.0,39.0,40.0,2.0,1
55.0,0.0,92.0,0.0,-4.0,22.0,36.0,97.0,60.0,4
44.0,2.0,75.0,0.0,44.0,11.0,31.0,31.0,0.0,1
43.0,-5.0,83.0,0.0,42.0,-9.0,39.0,41.0,2.0,1
41.0,-1.0,76.0,0.0,38.0,-24.0,35.0,37.0,2.0,1
45.0,0.0,86.0,0.0,44.0,-10.0,41.0,42.0,2.0,1
55.0,0.0,77.0,0.0,6.0,-11.0,22.0,72.0,50.0,4
67.0,-2.0,110.0,0.0,68.0,0.0,43.0,43.0,0.0,1
37.0,-67.0,106.0,0.0,36.0,31.0,69.0,69.0,0.0,1
56.0,0.0,108.0,0.0,54.0,-14.0,52.0,53.0,2.0,1
42.0,0.0,86.0,-3.0,42.0,0.0,44.0,44.0,0.0,1
56.0,0.0,84.0,0.0,54.0,-19.0,28.0,30.0,2.0,1
38.0,2.0,80.0,0.0,38.0,4.0,42.0,41.0,0.0,1
45.0,0.0,86.0,0.0,44.0,-3.0,41.0,42.0,2.0,1
44.0,0.0,83.0,-1.0,44.0,0.0,38.0,39.0,0.0,1
45.0,-2.0,83.0,0.0,44.0,-7.0,37.0,39.0,2.0,1
53.0,-1.0,88.0,0.0,54.0,4.0,35.0,34.0,0.0,1
51.0,0.0,83.0,0.0,52.0,19.0,31.0,31.0,0.0,1
41.0,0.0,81.0,0.0,38.0,-3.0,41.0,43.0,2.0,1
46.0,0.0,88.0,0.0,46.0,0.0,41.0,41.0,0.0,1
43.0,0.0,77.0,0.0,42.0,0.0,34.0,36.0,2.0,1
45.0,2.0,76.0,-3.0,44.0,-5.0,31.0,32.0,0.0,1
41.0,1.0,97.0,0.0,42.0,4.0,55.0,55.0,0.0,1
37.0,0.0,81.0,2.0,26.0,0.0,44.0,55.0,10.0,1
83.0,0.0,86.0,0.0,-4.0,0.0,3.0,92.0,88.0,5
56.0,0.0,81.0,4.0,-22.0,0.0,25.0,104.0,80.0,4
43.0,0.0,87.0,0.0,42.0,-6.0,44.0,46.0,2.0,1
56.0,4.0,98.0,-4.0,42.0,0.0,42.0,57.0,14.0,4
46.0,2.0,78.0,0.0,46.0,9.0,32.0,32.0,0.0,1
37.0,0.0,79.0,0.0,26.0,-4.0,42.0,53.0,12.0,1
43.0,-1.0,83.0,0.0,42.0,-6.0,39.0,41.0,2.0,1
37.0,0.0,83.0,1.0,24.0,0.0,46.0,59.0,14.0,1
55.0,0.0,95.0,-2.0,50.0,0.0,40.0,46.0,6.0,4
56.0,3.0,89.0,0.0,56.0,0.0,33.0,32.0,0.0,1
37.0,0.0,78.0,0.0,0.0,-11.0,42.0,78.0,36.0,1
48.0,1.0,87.0,-6.0,46.0,-4.0,39.0,41.0,2.0,1
37.0,0.0,90.0,0.0,30.0,9.0,53.0,59.0,6.0,1
55.0,0.0,96.0,0.0,46.0,9.0,41.0,50.0,8.0,4
51.0,-3.0,84.0,4.0,52.0,1.0,33.0,32.0,0.0,1
37.0,0.0,78.0,0.0,12.0,11.0,41.0,65.0,24.0,1
37.0,0.0,97.0,-6.0,34.0,0.0,59.0,63.0,4.0,1
45.0,-1.0,77.0,2.0,44.0,0.0,32.0,33.0,0.0,1
49.0,0.0,84.0,0.0,50.0,18.0,35.0,35.0,0.0,1
53.0,0.0,81.0,4.0,52.0,-22.0,28.0,29.0,2.0,1
37.0,2.0,90.0,0.0,28.0,0.0,53.0,62.0,8.0,1
37.0,0.0,77.0,1.0,36.0,0.0,41.0,41.0,0.0,1
70.0,57.0,82.0,0.0,-42.0,-4.0,12.0,126.0,114.0,2
61.0,-2.0,111.0,0.0,60.0,0.0,50.0,52.0,2.0,1
59.0,0.0,86.0,0.0,60.0,21.0,28.0,27.0,0.0,1
49.0,0.0,95.0,3.0,50.0,4.0,46.0,46.0,0.0,1
45.0,2.0,86.0,6.0,44.0,0.0,41.0,42.0,2.0,1
45.0,0.0,79.0,0.0,46.0,6.0,33.0,32.0,0.0,1
56.0,0.0,78.0,0.0,44.0,1.0,22.0,34.0,12.0,4
55.0,-3.0,96.0,0.0,54.0,-3.0,41.0,42.0,2.0,1
49.0,0.0,78.0,0.0,50.0,3.0,29.0,29.0,0.0,1
39.0,3.0,77.0,0.0,38.0,0.0,38.0,38.0,0.0,1
55.0,-1.0,79.0,-8.0,20.0,-13.0,23.0,58.0,34.0,4
56.0,0.0,86.0,0.0,56.0,15.0,31.0,30.0,0.0,1
37.0,0.0,81.0,0.0,18.0,-26.0,44.0,63.0,18.0,1
41.0,0.0,82.0,-2.0,38.0,-3.0,41.0,43.0,2.0,1
45.0,-3.0,88.0,0.0,44.0,0.0,44.0,44.0,0.0,1
37.0,0.0,83.0,0.0,8.0,24.0,46.0,75.0,30.0,1
43.0,0.0,77.0,0.0,42.0,-8.0,34.0,36.0,2.0,1
84.0,6.0,89.0,0.0,6.0,-6.0,5.0,84.0,78.0,5
37.0,0.0,79.0,-1.0,6.0,-23.0,43.0,74.0,32.0,1
37.0,0.0,81.0,0.0,38.0,7.0,43.0,42.0,0.0,1
43.0,0.0,77.0,0.0,42.0,-19.0,34.0,35.0,2.0,1
56.0,-1.0,98.0,4.0,50.0,23.0,42.0,49.0,6.0,4
50.0,1.0,78.0,-2.0,50.0,0.0,28.0,29.0,2.0,1
39.0,3.0,86.0,0.0,38.0,0.0,48.0,48.0,0.0,1
43.0,0.0,81.0,0.0,42.0,-10.0,37.0,39.0,2.0,1
37.0,0.0,79.0,0.0,36.0,9.0,42.0,43.0,2.0,1
58.0,-4.0,91.0,0.0,56.0,0.0,33.0,34.0,0.0,1
45.0,0.0,93.0,2.0,44.0,0.0,49.0,50.0,0.0,1
38.0,3.0,76.0,0.0,38.0,8.0,38.0,37.0,0.0,1
37.0,0.0,79.0,-3.0,36.0,-1.0,41.0,43.0,2.0,1
79.0,6.0,83.0,1.0,-40.0,13.0,4.0,124.0,120.0,5
36.0,-1.0,76.0,0.0,36.0,0.0,39.0,39.0,0.0,1
85.0,-3.0,88.0,0.0,2.0,-25.0,3.0,86.0,82.0,5
37.0,3.0,77.0,0.0,36.0,0.0,41.0,41.0,0.0,1
37.0,0.0,77.0,0.0,26.0,-19.0,41.0,52.0,10.0,1
45.0,0.0,79.0,0.0,46.0,14.0,34.0,33.0,0.0,1
54.0,4.0,77.0,0.0,28.0,0.0,23.0,48.0,26.0,4
43.0,-5.0,77.0,0.0,44.0,19.0,34.0,33.0,0.0,1
41.0,0.0,83.0,2.0,38.0,-1.0,42.0,44.0,2.0,1
43.0,0.0,77.0,10.0,42.0,-34.0,34.0,36.0,2.0,1
56.0,2.0,81.0,4.0,-4.0,0.0,25.0,86.0,62.0,4
55.0,0.0,82.0,0.0,-32.0,9.0,26.0,115.0,90.0,4
37.0,0.0,103.0,0.0,24.0,16.0,66.0,80.0,14.0,1
50.0,1.0,90.0,3.0,50.0,0.0,39.0,41.0,2.0,1
45.0,0.0,84.0,8.0,44.0,-8.0,39.0,41.0,2.0,1
48.0,0.0,89.0,4.0,46.0,-7.0,41.0,42.0,2.0,1
85.0,0.0,88.0,-3.0,6.0,0.0,3.0,83.0,80.0,5
47.0,-2.0,106.0,0.0,46.0,0.0,59.0,60.0,0.0,1
37.0,-6.0,78.0,0.0,10.0,0.0,42.0,68.0,26.0,1
37.0,-38.0,106.0,-104.0,30.0,-17.0,69.0,75.0,6.0,3
58.0,0.0,91.0,2.0,56.0,0.0,33.0,34.0,2.0,1
46.0,0.0,78.0,-7.0,46.0,5.0,32.0,32.0,0.0,1
55.0,0.0,95.0,-2.0,50.0,-10.0,40.0,46.0,6.0,4
56.0,0.0,82.0,0.0,56.0,10.0,26.0,25.0,0.0,1
55.0,0.0,92.0,0.0,46.0,-3.0,37.0,46.0,8.0,4
39.0,-2.0,86.0,0.0,38.0,0.0,46.0,47.0,0.0,1
51.0,2.0,81.0,-5.0,50.0,0.0,30.0,32.0,2.0,1
37.0,0.0,75.0,0.0,20.0,11.0,38.0,54.0,16.0,1
41.0,-2.0,80.0,0.0,38.0,-20.0,39.0,41.0,2.0,1
53.0,0.0,86.0,0.0,52.0,-10.0,33.0,34.0,2.0,1
46.0,2.0,88.0,0.0,46.0,3.0,42.0,41.0,0.0,1
37.0,0.0,78.0,0.0,6.0,-4.0,41.0,73.0,32.0,1
44.0,0.0,79.0,-2.0,44.0,0.0,35.0,35.0,0.0,1
38.0,-3.0,76.0,0.0,38.0,0.0,38.0,37.0,0.0,1
52.0,4.0,91.0,0.0,52.0,0.0,38.0,39.0,0.0,1
37.0,0.0,93.0,0.0,16.0,4.0,55.0,77.0,22.0,1
56.0,0.0,77.0,0.0,-22.0,23.0,21.0,100.0,80.0,4
44.0,4.0,82.0,-7.0,44.0,1.0,38.0,38.0,0.0,1
37.0,0.0,79.0,-4.0,24.0,0.0,42.0,55.0,14.0,1
46.0,0.0,87.0,-7.0,46.0,0.0,41.0,41.0,0.0,1
52.0,-3.0,86.0,0.0,52.0,-4.0,33.0,34.0,0.0,1
41.0,0.0,79.0,0.0,38.0,0.0,39.0,41.0,2.0,1
56.0,0.0,80.0,0.0,54.0,-15.0,24.0,26.0,2.0,1
82.0,1.0,86.0,0.0,-6.0,0.0,3.0,94.0,90.0,5
60.0,-5.0,111.0,0.0,60.0,0.0,50.0,51.0,2.0,1
44.0,1.0,88.0,0.0,44.0,4.0,44.0,44.0,0.0,1
46.0,1.0,87.0,0.0,46.0,7.0,41.0,41.0,0.0,1
52.0,-3.0,88.0,0.0,52.0,0.0,35.0,36.0,0.0,1
37.0,0.0,78.0,0.0,-2.0,-6.0,42.0,81.0,40.0,1
43.0,0.0,78.0,-7.0,42.0,0.0,35.0,37.0,2.0,1
37.0,0.0,84.0,0.0,18.0,-25.0,47.0,66.0,18.0,1
42.0,-4.0,85.0,0.0,42.0,0.0,43.0,44.0,2.0,1
43.0,0.0,79.0,3.0,42.0,0.0,37.0,38.0,2.0,1
78.0,-2.0,82.0,0.0,-40.0,0.0,4.0,123.0,120.0,5
48.0,0.0,88.0,0.0,46.0,0.0,39.0,41.0,2.0,1
55.0,0.0,90.0,0.0,54.0,0.0,36.0,36.0,0.0,1
78.0,0.0,82.0,-2.0,-40.0,0.0,4.0,123.0,120.0,5
39.0,1.0,77.0,2.0,38.0,0.0,38.0,38.0,0.0,1
43.0,1.0,77.0,0.0,42.0,0.0,34.0,35.0,2.0,1
107.0,-2.0,108.0,-2.0,70.0,-28.0,1.0,38.0,38.0,5
55.0,-1.0,81.0,-6.0,54.0,-8.0,26.0,27.0,0.0,1
41.0,0.0,106.0,0.0,38.0,-28.0,64.0,67.0,2.0,1
58.0,-4.0,85.0,0.0,56.0,0.0,28.0,28.0,0.0,1
37.0,0.0,76.0,0.0,34.0,13.0,39.0,42.0,4.0,1
42.0,-1.0,78.0,0.0,42.0,0.0,36.0,37.0,2.0,1
42.0,5.0,82.0,0.0,42.0,0.0,40.0,41.0,0.0,1
53.0,0.0,103.0,-1.0,52.0,-17.0,50.0,51.0,2.0,1
42.0,2.0,75.0,0.0,42.0,0.0,33.0,34.0,0.0,1
37.0,4.0,106.0,0.0,18.0,0.0,68.0,88.0,20.0,1
49.0,-1.0,81.0,0.0,50.0,5.0,33.0,32.0,0.0,1
46.0,0.0,77.0,5.0,46.0,0.0,31.0,30.0,0.0,1
56.0,4.0,95.0,0.0,44.0,26.0,40.0,51.0,12.0,4
41.0,1.0,107.0,0.0,38.0,-7.0,66.0,68.0,2.0,1
56.0,0.0,77.0,0.0,10.0,5.0,22.0,67.0,46.0,4
37.0,0.0,76.0,-2.0,26.0,1.0,39.0,50.0,12.0,1
44.0,-4.0,77.0,0.0,44.0,4.0,34.0,34.0,0.0,1
49.0,-2.0,83.0,0.0,50.0,0.0,34.0,34.0,0.0,1
56.0,0.0,78.0,0.0,12.0,19.0,22.0,65.0,42.0,4
52.0,2.0,81.0,0.0,52.0,0.0,29.0,29.0,0.0,1
37.0,0.0,77.0,0.0,2.0,-11.0,40.0,75.0,34.0,1
55.0,0.0,82.0,0.0,-24.0,-16.0,26.0,108.0,82.0,4
